Tree	-lnL	R(a)	R(b)	R(c)	R(d)	R(e)	gamma shape	Site	-lnL
								1	1.92223642
								2	1.85857628
								3	1.85857628
								4	1.85857628
								5	1.19424018
								6	1.85857628
								7	1.92223642
								8	1.85857628
								9	1.19424018
								10	1.92223642
								11	1.59465891
								12	1.85857628
								13	1.85857628
								14	1.19424018
								15	1.04329775
								16	4.58442218
								17	6.62497502
								18	1.59465891
								19	1.19424018
								20	1.19424018
								21	1.19424018
								22	1.92223642
								23	1.59465891
								24	1.19424018
								25	1.19424018
								26	6.48128067
								27	1.19424018
								28	1.59465891
								29	1.19424018
								30	1.59465891
								31	1.85857628
								32	1.92223642
								33	1.19424018
								34	1.19424018
								35	1.19424018
								36	1.19424018
								37	1.85857628
								38	1.92223642
								39	1.85857628
								40	5.13536631
								41	9.06860241
								42	10.20656416
								43	1.92223642
								44	1.19424018
								45	4.58442218
								46	1.14034118
								47	1.68050352
								48	1.59465891
								49	6.09806101
								50	1.59465891
								51	1.59465891
								52	1.59465891
								53	1.59465891
								54	1.19424018
								55	1.85857628
								56	1.19424018
								57	1.19424018
								58	1.19424018
								59	1.59465891
								60	1.19424018
								61	1.19424018
								62	1.19424018
								63	7.01914064
								64	1.19424018
								65	1.92223642
								66	1.92223642
								67	1.85857628
								68	1.85857628
								69	1.85857628
								70	1.92223642
								71	1.92223642
								72	1.85857628
								73	1.59465891
								74	1.59465891
								75	1.85857628
								76	1.19424018
								77	1.92223642
								78	1.59465891
								79	1.59465891
								80	1.85857628
								81	1.85857628
								82	1.85857628
								83	1.59465891
								84	1.85857628
								85	1.19424018
								86	1.85857628
								87	1.85857628
								88	1.19424018
								89	6.13683615
								90	1.59465891
								91	6.97177630
								92	1.59465891
								93	4.49375127
								94	1.85857628
								95	4.56999548
								96	1.92223642
								97	4.49375127
								98	4.86499071
								99	5.96125441
								100	1.92223642
								101	1.19424018
								102	1.85857628
								103	1.85857628
								104	1.19424018
								105	1.59465891
								106	1.19424018
								107	1.59465891
								108	1.19424018
								109	1.85857628
								110	1.92223642
								111	1.59465891
								112	1.19424018
								113	1.19424018
								114	1.92223642
								115	1.59465891
								116	1.19424018
								117	1.85857628
								118	1.59465891
								119	1.59465891
								120	1.59465891
								121	1.59465891
								122	1.92223642
								123	5.91250593
								124	5.91250593
								125	1.59465891
								126	1.59465891
								127	8.17217519
								128	1.92223642
								129	1.85857628
								130	1.92223642
								131	5.35745291
								132	1.85857628
								133	1.59465891
								134	6.09806101
								135	1.59465891
								136	1.59465891
								137	1.59465891
								138	1.85857628
								139	4.34508737
								140	5.13536631
								141	1.19424018
								142	1.19424018
								143	4.86499071
								144	4.76087744
								145	1.59465891
								146	6.51813556
								147	1.33689192
								148	7.22346954
								149	1.92223642
								150	1.19424018
								151	4.76087744
								152	4.58442218
								153	1.19424018
								154	1.19424018
								155	4.86499071
								156	1.19424018
								157	1.92223642
								158	1.92223642
								159	1.19424018
								160	4.56999548
								161	1.59465891
								162	1.19424018
								163	4.56999548
								164	1.92223642
								165	6.85052500
								166	1.19424018
								167	1.85857628
								168	1.59465891
								169	1.19424018
								170	1.19424018
								171	1.92223642
								172	5.61883297
								173	1.19424018
								174	1.59465891
								175	1.92223642
								176	1.59465891
								177	1.19424018
								178	5.01729908
								179	8.34959967
								180	1.19424018
								181	1.19424018
								182	4.76087744
								183	1.92223642
								184	1.59465891
								185	1.19424018
								186	1.92223642
								187	1.59465891
								188	1.85857628
								189	1.59465891
								190	1.19424018
								191	1.19424018
								192	4.86499071
								193	1.19424018
								194	1.59465891
								195	4.68909394
								196	1.59465891
								197	4.49375127
								198	4.49375127
								199	5.93429249
								200	1.92223642
								201	1.59465891
								202	1.59465891
								203	1.85857628
								204	1.19424018
								205	1.92223642
								206	1.59465891
								207	1.59465891
								208	1.19424018
								209	1.59465891
								210	1.19424018
								211	1.59465891
								212	1.59465891
								213	1.59465891
								214	1.59465891
								215	1.59465891
								216	1.19424018
								217	1.59465891
								218	1.92223642
								219	1.92223642
								220	1.92223642
								221	1.19424018
								222	6.45942114
								223	1.19424018
								224	1.59465891
								225	1.19424018
								226	1.92223642
								227	1.59465891
								228	1.19424018
								229	1.92223642
								230	1.85857628
								231	1.92223642
								232	1.19424018
								233	4.76087744
								234	7.79687371
								235	1.19424018
								236	1.19424018
								237	4.58442218
								238	1.59465891
								239	1.85857628
								240	1.85857628
								241	1.85857628
								242	1.19424018
								243	1.92223642
								244	1.59465891
								245	1.19424018
								246	1.19424018
								247	1.85857628
								248	4.86499071
								249	1.19424018
								250	1.19424018
								251	1.59465891
								252	1.92223642
								253	1.19424018
								254	1.19424018
								255	1.19424018
								256	1.92223642
								257	1.85857628
								258	1.85857628
								259	4.76087744
								260	1.19424018
								261	1.19424018
								262	1.59465891
								263	1.85857628
								264	1.19424018
								265	1.19424018
								266	1.92223642
								267	1.59465891
								268	7.15672374
								269	1.19424018
								270	4.76087744
								271	4.56999548
								272	1.59465891
								273	4.49375127
								274	1.19424018
								275	4.86499071
								276	1.59465891
								277	1.59465891
								278	5.74115533
								279	6.12839469
								280	1.19424018
								281	1.92223642
								282	1.92223642
								283	1.92223642
								284	4.76087744
								285	1.85857628
								286	1.92223642
								287	1.92223642
								288	1.85857628
								289	1.59465891
								290	1.19424018
								291	1.19424018
								292	5.13536631
								293	1.85857628
								294	1.85857628
								295	1.59465891
								296	1.92223642
								297	1.85857628
								298	1.92223642
								299	1.59465891
								300	1.59465891
								301	1.19424018
								302	1.92223642
								303	1.59465891
								304	6.12839469
								305	1.19424018
								306	1.59465891
								307	1.59465891
								308	1.92223642
								309	1.59465891
								310	1.92223642
								311	1.92223642
								312	1.85857628
								313	1.59465891
								314	1.19424018
								315	4.34508737
								316	1.19424018
								317	1.59465891
								318	1.92223642
								319	1.19424018
								320	1.85857628
								321	1.85857628
								322	1.19424018
								323	4.86499071
								324	1.59465891
								325	1.59465891
								326	1.59465891
								327	5.58047336
								328	1.19424018
								329	1.92223642
								330	5.85361272
								331	5.25843457
								332	1.19424018
								333	1.19424018
								334	1.85857628
								335	1.19424018
								336	1.92223642
								337	1.19424018
								338	6.09806101
								339	9.06292973
								340	6.58108443
								341	1.59465891
								342	1.92223642
								343	1.92223642
								344	1.59465891
								345	1.92223642
								346	1.85857628
								347	1.19424018
								348	4.86499071
								349	1.19424018
								350	1.92223642
								351	1.19424018
								352	1.92223642
								353	1.85857628
								354	1.92223642
								355	1.85857628
								356	1.85857628
								357	1.85857628
								358	1.85857628
								359	1.19424018
								360	1.92223642
								361	1.19424018
								362	3.94424048
								363	3.94424048
								364	3.94424048
								365	1.57432317
								366	6.12109683
								367	1.59465891
								368	1.59465891
								369	1.59465891
								370	4.34508737
								371	1.19424018
								372	1.19424018
								373	1.85857628
								374	1.19424018
								375	1.19424018
								376	1.19424018
								377	1.92223642
								378	1.59465891
								379	1.85857628
								380	1.19424018
								381	1.19424018
								382	4.56999548
								383	5.58047336
								384	6.96015766
								385	4.49375127
								386	4.58442218
								387	1.19424018
								388	4.34508737
								389	1.59465891
								390	4.49375127
								391	4.68909394
								392	1.19424018
								393	1.92223642
								394	1.85857628
								395	4.49375127
								396	1.92223642
								397	1.85857628
								398	1.19424018
								399	4.86499071
								400	1.19424018
								401	1.19424018
								402	1.19424018
								403	1.19424018
								404	1.59465891
								405	1.85857628
								406	4.58442218
								407	7.08475751
								408	4.56999548
								409	1.92223642
								410	6.82400128
								411	1.85857628
								412	5.01729908
								413	5.58047336
								414	6.16212704
								415	1.19424018
								416	6.41274039
								417	1.19424018
								418	1.19424018
								419	1.19424018
								420	1.19424018
								421	1.85857628
								422	1.19424018
								423	6.27565394
								424	1.19424018
								425	1.59465891
								426	1.85857628
								427	1.19424018
								428	1.59465891
								429	1.92223642
								430	1.19424018
								431	1.19424018
								432	1.19424018
								433	1.92223642
								434	1.85857628
								435	1.92223642
								436	1.92223642
								437	1.59465891
								438	1.85857628
								439	1.85857628
								440	1.85857628
								441	1.19424018
								442	1.19424018
								443	6.58108443
								444	1.19424018
								445	6.85123773
								446	5.58047336
								447	1.85857628
								448	1.59465891
								449	1.85857628
								450	1.92223642
								451	1.19424018
								452	1.19424018
								453	6.85052500
								454	1.19424018
								455	1.59465891
								456	1.19424018
								457	1.59465891
								458	1.19424018
								459	1.19424018
								460	1.85857628
								461	1.19424018
								462	1.92223642
								463	1.59465891
								464	1.85857628
								465	4.56999548
								466	5.96125441
								467	1.92223642
								468	1.19424018
								469	1.59465891
								470	1.59465891
								471	1.59465891
								472	1.19424018
								473	1.19424018
								474	1.19424018
								475	1.59465891
								476	1.85857628
								477	1.92223642
								478	1.92223642
								479	1.92223642
								480	1.19424018
								481	1.85857628
								482	1.85857628
								483	1.19424018
								484	1.92223642
								485	1.19424018
								486	1.85857628
								487	1.19424018
								488	1.59465891
								489	1.59465891
								490	1.59465891
								491	1.59465891
								492	1.19424018
								493	1.59465891
								494	1.85857628
								495	1.19424018
								496	1.85857628
								497	1.92223642
								498	1.59465891
								499	5.85361272
								500	4.49375127
								501	1.19424018
								502	1.92223642
								503	1.59465891
								504	1.59465891
								505	1.59465891
								506	1.85857628
								507	1.19424018
								508	1.19424018
								509	1.19424018
								510	1.59465891
								511	6.16212704
								512	1.85857628
								513	4.58442218
								514	1.19424018
								515	1.19424018
								516	1.59465891
								517	1.19424018
								518	1.92223642
								519	1.85857628
								520	4.49375127
								521	4.86499071
								522	1.19424018
								523	1.19424018
								524	1.85857628
								525	6.86206171
								526	1.19424018
								527	1.19424018
								528	1.59465891
								529	1.19424018
								530	1.19424018
								531	7.68924690
								532	1.19424018
								533	1.59465891
								534	1.85857628
								535	1.92223642
								536	1.59465891
								537	1.85857628
								538	1.59465891
								539	1.92223642
								540	1.59465891
								541	1.59465891
								542	1.19424018
								543	1.92223642
								544	1.19424018
								545	1.19424018
								546	1.59465891
								547	1.19424018
								548	1.59465891
								549	1.85857628
								550	1.19424018
								551	1.59465891
								552	1.92223642
								553	1.19424018
								554	1.92223642
								555	1.59465891
								556	5.96180110
								557	1.19424018
								558	1.59465891
								559	1.19424018
								560	1.92223642
								561	1.59465891
								562	1.85857628
								563	1.85857628
								564	1.19424018
								565	1.19424018
								566	1.19424018
								567	1.19424018
								568	5.96180110
								569	1.85857628
								570	1.59465891
								571	1.19424018
								572	1.19424018
								573	1.19424018
								574	1.92223642
								575	1.92223642
								576	1.19424018
								577	1.59465891
								578	1.59465891
								579	1.85857628
								580	1.92223642
								581	1.92223642
								582	1.59465891
								583	1.92223642
								584	1.92223642
								585	1.85857628
								586	1.92223642
								587	1.59465891
								588	1.85857628
								589	1.85857628
								590	1.59465891
								591	1.19424018
								592	6.36530502
								593	1.19424018
								594	5.13536631
								595	1.59465891
								596	1.59465891
								597	5.61883297
								598	5.13536631
								599	1.59465891
								600	1.85857628
								601	1.19424018
								602	1.92223642
								603	1.19424018
								604	1.92223642
								605	1.92223642
								606	1.19424018
								607	1.92223642
								608	1.59465891
								609	1.59465891
								610	1.85857628
								611	1.92223642
								612	1.85857628
								613	4.49375127
								614	1.59465891
								615	1.85857628
								616	4.68909394
								617	1.85857628
								618	1.19424018
								619	1.19424018
								620	1.85857628
								621	1.59465891
								622	1.92223642
								623	1.19424018
								624	1.85857628
								625	1.19424018
								626	1.19424018
								627	1.19424018
								628	1.59465891
								629	1.59465891
								630	1.59465891
								631	1.59465891
								632	1.92223642
								633	5.93429249
								634	1.85857628
								635	1.59465891
								636	1.19424018
								637	1.19424018
								638	1.59465891
								639	1.59465891
								640	1.85857628
								641	1.59465891
								642	1.19424018
								643	1.59465891
								644	1.59465891
								645	6.51813556
								646	4.34508737
								647	1.59465891
								648	4.76087744
								649	1.59465891
								650	1.85857628
								651	1.85857628
								652	1.92223642
								653	1.59465891
								654	1.85857628
								655	1.59465891
								656	1.19424018
								657	1.92223642
								658	1.59465891
								659	1.59465891
								660	1.85857628
								661	1.19424018
								662	1.85857628
								663	1.19424018
								664	1.85857628
								665	1.19424018
								666	1.59465891
								667	1.59465891
								668	1.92223642
								669	1.59465891
								670	1.59465891
								671	1.19424018
								672	1.85857628
								673	1.59465891
								674	1.85857628
								675	1.85857628
								676	1.59465891
								677	1.19424018
								678	1.92223642
								679	1.59465891
								680	1.19424018
								681	1.19424018
								682	1.19424018
								683	1.59465891
								684	1.59465891
								685	1.59465891
								686	1.85857628
								687	1.92223642
								688	1.19424018
								689	6.36530502
								690	4.68909394
								691	1.19424018
								692	1.19424018
								693	1.92223642
								694	1.92223642
								695	6.12839469
								696	6.57384897
								697	1.19424018
								698	4.34508737
								699	4.86499071
								700	1.19424018
								701	1.19424018
								702	1.92223642
								703	1.85857628
								704	1.19424018
								705	1.19424018
								706	1.92223642
								707	1.59465891
								708	7.16550045
								709	1.59465891
								710	1.19424018
								711	1.19424018
								712	5.68644195
								713	5.13536631
								714	1.19424018
								715	1.59465891
								716	1.59465891
								717	1.59465891
								718	1.19424018
								719	1.59465891
								720	4.68909394
								721	1.85857628
								722	1.19424018
								723	1.19424018
								724	6.51813556
