Site	tree1	tree2	tree3	tree4	tree5	tree6	tree7	tree8	tree9	tree10	tree11	tree12	tree13	tree14	tree15	tree16
1	1.92223642	1.92195633	1.92146384	1.92765608	1.92764820	1.92764821	1.92791095	1.92709599	1.92737093	1.92742987	1.92688472	1.92734775	1.92791100	1.92840826	1.92846820
2	1.85857628	1.85882066	1.85896553	1.85480834	1.85482505	1.85482514	1.85405226	1.85438948	1.85427352	1.85436059	1.85436755	1.85431002	1.85422777	1.85393333	1.85401540
3	1.85857628	1.85882066	1.85896553	1.85480834	1.85482505	1.85482514	1.85405226	1.85438948	1.85427352	1.85436059	1.85436755	1.85431002	1.85422777	1.85393333	1.85401540
4	1.85857628	1.85882066	1.85896553	1.85480834	1.85482505	1.85482514	1.85405226	1.85438948	1.85427352	1.85436059	1.85436755	1.85431002	1.85422777	1.85393333	1.85401540
5	1.19424018	1.19381583	1.19393831	1.19697832	1.19698460	1.19698458	1.19697897	1.19637498	1.19649977	1.19617188	1.19685101	1.19663876	1.19650503	1.19700841	1.19666446
6	1.85857628	1.85882066	1.85896553	1.85480834	1.85482505	1.85482514	1.85405226	1.85438948	1.85427352	1.85436059	1.85436755	1.85431002	1.85422777	1.85393333	1.85401540
7	1.92223642	1.92195633	1.92146384	1.92765608	1.92764820	1.92764821	1.92791095	1.92709599	1.92737093	1.92742987	1.92688472	1.92734775	1.92791100	1.92840826	1.92846820
8	1.85857628	1.85882066	1.85896553	1.85480834	1.85482505	1.85482514	1.85405226	1.85438948	1.85427352	1.85436059	1.85436755	1.85431002	1.85422777	1.85393333	1.85401540
9	1.19424018	1.19381583	1.19393831	1.19697832	1.19698460	1.19698458	1.19697897	1.19637498	1.19649977	1.19617188	1.19685101	1.19663876	1.19650503	1.19700841	1.19666446
10	1.92223642	1.92195633	1.92146384	1.92765608	1.92764820	1.92764821	1.92791095	1.92709599	1.92737093	1.92742987	1.92688472	1.92734775	1.92791100	1.92840826	1.92846820
11	1.59465891	1.59470853	1.59495085	1.59213239	1.59214511	1.59214512	1.59180818	1.59213281	1.59205080	1.59188815	1.59226002	1.59200768	1.59184079	1.59162218	1.59145151
