Tree	-lnL	R(a)	R(b)	R(c)	R(d)	R(e)	gamma shape	Site	-lnL
								1	2.06662933
								2	1.78415255
								3	1.78415255
								4	1.78415255
								5	1.29752421
								6	1.78415255
								7	2.06662933
								8	1.78415255
								9	1.29752421
								10	2.06662933
								11	1.53795012
								12	1.78415255
								13	1.78415255
								14	1.29752421
								15	1.11718711
								16	4.51571098
								17	6.03761038
								18	1.53795012
								19	1.29752421
								20	1.29752421
								21	1.29752421
								22	2.06662933
								23	1.53795012
								24	1.29752421
								25	1.29752421
								26	6.78940558
								27	1.29752421
								28	1.53795012
								29	1.29752421
								30	1.53795012
								31	1.78415255
								32	2.06662933
								33	1.29752421
								34	1.29752421
								35	1.29752421
								36	1.29752421
								37	1.78415255
								38	2.06662933
								39	1.78415255
								40	5.10034502
								41	8.79694890
								42	10.46912740
								43	2.06662933
								44	1.29752421
								45	4.51571098
								46	1.24478948
								47	1.61556946
								48	1.53795012
								49	5.82974952
								50	1.53795012
								51	1.53795012
								52	1.53795012
								53	1.53795012
								54	1.29752421
								55	1.78415255
								56	1.29752421
								57	1.29752421
								58	1.29752421
								59	1.53795012
								60	1.29752421
								61	1.29752421
								62	1.29752421
								63	6.67551515
								64	1.29752421
								65	2.06662933
								66	2.06662933
								67	1.78415255
								68	1.78415255
								69	1.78415255
								70	2.06662933
								71	2.06662933
								72	1.78415255
								73	1.53795012
								74	1.53795012
								75	1.78415255
								76	1.29752421
								77	2.06662933
								78	1.53795012
								79	1.53795012
								80	1.78415255
								81	1.78415255
								82	1.78415255
								83	1.53795012
								84	1.78415255
								85	1.29752421
								86	1.78415255
								87	1.78415255
								88	1.29752421
								89	5.96776206
								90	1.53795012
								91	6.68831761
								92	1.53795012
								93	4.46167635
								94	1.78415255
								95	4.59094710
								96	2.06662933
								97	4.46167635
								98	4.79427039
								99	5.65435731
								100	2.06662933
								101	1.29752421
								102	1.78415255
								103	1.78415255
								104	1.29752421
								105	1.53795012
								106	1.29752421
								107	1.53795012
								108	1.29752421
								109	1.78415255
								110	2.06662933
								111	1.53795012
								112	1.29752421
								113	1.29752421
								114	2.06662933
								115	1.53795012
								116	1.29752421
								117	1.78415255
								118	1.53795012
								119	1.53795012
								120	1.53795012
								121	1.53795012
								122	2.06662933
								123	5.63629095
								124	5.63629095
								125	1.53795012
								126	1.53795012
								127	7.56665979
								128	2.06662933
								129	1.78415255
								130	2.06662933
								131	5.51127265
								132	1.78415255
								133	1.53795012
								134	5.82974952
								135	1.53795012
								136	1.53795012
								137	1.53795012
								138	1.78415255
								139	4.33036450
								140	5.10034502
								141	1.29752421
								142	1.29752421
								143	4.79427039
								144	4.66473600
								145	1.53795012
								146	5.91819738
								147	1.26294399
								148	6.89755587
								149	2.06662933
								150	1.29752421
								151	4.66473600
								152	4.51571098
								153	1.29752421
								154	1.29752421
								155	4.79427039
								156	1.29752421
								157	2.06662933
								158	2.06662933
								159	1.29752421
								160	4.59094710
								161	1.53795012
								162	1.29752421
								163	4.59094710
								164	2.06662933
								165	6.54732417
								166	1.29752421
								167	1.78415255
								168	1.53795012
								169	1.29752421
								170	1.29752421
								171	2.06662933
								172	5.34232853
								173	1.29752421
								174	1.53795012
								175	2.06662933
								176	1.53795012
								177	1.29752421
								178	5.05527093
								179	8.38868275
								180	1.29752421
								181	1.29752421
								182	4.66473600
								183	2.06662933
								184	1.53795012
								185	1.29752421
								186	2.06662933
								187	1.53795012
								188	1.78415255
								189	1.53795012
								190	1.29752421
								191	1.29752421
								192	4.79427039
								193	1.29752421
								194	1.53795012
								195	4.81571789
								196	1.53795012
								197	4.46167635
								198	4.46167635
								199	6.33853360
								200	2.06662933
								201	1.53795012
								202	1.53795012
								203	1.78415255
								204	1.29752421
								205	2.06662933
								206	1.53795012
								207	1.53795012
								208	1.29752421
								209	1.53795012
								210	1.29752421
								211	1.53795012
								212	1.53795012
								213	1.53795012
								214	1.53795012
								215	1.53795012
								216	1.29752421
								217	1.53795012
								218	2.06662933
								219	2.06662933
								220	2.06662933
								221	1.29752421
								222	6.27155781
								223	1.29752421
								224	1.53795012
								225	1.29752421
								226	2.06662933
								227	1.53795012
								228	1.29752421
								229	2.06662933
								230	1.78415255
								231	2.06662933
								232	1.29752421
								233	4.66473600
								234	7.90716447
								235	1.29752421
								236	1.29752421
								237	4.51571098
								238	1.53795012
								239	1.78415255
